EZU;iShares MSCI Eurozone ETF
EWG;iShares MSCI Germany ETF
IEV;iShares Europe ETF
EWU;iShares MSCI United Kingdom ETF
HEZU;iShares Currency Hedged MSCI Eurozone ETF
EWL;iShares MSCI Switzerland Capped ETF
IEUR;iShares Core MSCI Europe ETF
EWP;iShares MSCI Spain Capped ETF
HEWG;iShares Currency Hedged MSCI Germany ETF
EWI;iShares MSCI Italy Capped ETF
TUR;iShares MSCI Turkey ETF
EUFN;iShares MSCI Europe Financials ETF
EWQ;iShares MSCI France ETF
ERUS;iShares MSCI Russia Capped ETF
EWD;iShares MSCI Sweden ETF
EWN;iShares MSCI Netherlands ETF
EPOL;iShares MSCI Poland Capped ETF
EWK;iShares MSCI Belgium Capped ETF
EIRL;iShares MSCI Ireland Capped ETF
EIS;iShares MSCI Israel Capped ETF
IFEU;iShares Europe Developed Real Estate ETF
HEWU;iShares Currency Hedged MSCI United Kingdom ETF
EWO;iShares MSCI Austria Capped ETF
IEUS;iShares MSCI Europe Small-Cap ETF
EDEN;iShares MSCI Denmark Capped ETF
EUMV;iShares Edge MSCI Min Vol Europe ETF
EFNL;iShares MSCI Finland Capped ETF
ENOR;iShares MSCI Norway Capped ETF
EWUS;iShares MSCI United Kingdom Small-Cap ETF
EWGS;iShares MSCI Germany Small-Cap ETF
HEWP;iShares Currency Hedged MSCI Spain ETF
HEWI;iShares Currency Hedged MSCI Italy ETF
HEWL;iShares Currency Hedged MSCI Switzerland ETF
HEUV;iShares Edge MSCI Min Vol Europe Currency Hedged ETF
DEZU;iShares Adaptive Currency Hedged MSCI Eurozone ETF
HEUS;iShares Currency Hedged MSCI Europe Small-Cap ETF
