EWJ;iShares MSCI Japan ETF
INDA;iShares MSCI India ETF
EWZ;iShares MSCI Brazil Capped ETF
FXI;iShares China Large-Cap ETF
EWG;iShares MSCI Germany ETF
EWY;iShares MSCI South Korea Capped ETF
EWC;iShares MSCI Canada ETF
EWT;iShares MSCI Taiwan ETF
MCHI;iShares MSCI China ETF
EWU;iShares MSCI United Kingdom ETF
EWA;iShares MSCI Australia ETF
EWH;iShares MSCI Hong Kong ETF
EWW;iShares MSCI Mexico Capped ETF
EWL;iShares MSCI Switzerland Capped ETF
INDY;iShares India 50 ETF
EIDO;iShares MSCI Indonesia ETF
EWP;iShares MSCI Spain Capped ETF
EWS;iShares MSCI Singapore ETF
HEWJ;iShares Currency Hedged MSCI Japan ETF
HEWG;iShares Currency Hedged MSCI Germany ETF
EWI;iShares MSCI Italy Capped ETF
THD;iShares MSCI Thailand Capped ETF
EZA;iShares MSCI South Africa ETF
TUR;iShares MSCI Turkey ETF
ECH;iShares MSCI Chile Capped ETF
EPHE;iShares MSCI Philippines ETF
EWQ;iShares MSCI France ETF
EWM;iShares MSCI Malaysia ETF
ERUS;iShares MSCI Russia Capped ETF
EWD;iShares MSCI Sweden ETF
EPU;iShares MSCI All Peru Capped ETF
EWN;iShares MSCI Netherlands ETF
EPOL;iShares MSCI Poland Capped ETF
ENZL;iShares MSCI New Zealand Capped ETF
SCJ;iShares MSCI Japan Small-Cap ETF
EWK;iShares MSCI Belgium Capped ETF
EIRL;iShares MSCI Ireland Capped ETF
JPXN;iShares JPX-Nikkei 400 ETF
EIS;iShares MSCI Israel Capped ETF
HEWU;iShares Currency Hedged MSCI United Kingdom ETF
SMIN;iShares MSCI India Small-Cap ETF
EWO;iShares MSCI Austria Capped ETF
QAT;iShares MSCI Qatar Capped ETF
EWZS;iShares MSCI Brazil Small-Cap ETF
EDEN;iShares MSCI Denmark Capped ETF
JPMV;iShares Edge MSCI Min Vol Japan ETF
UAE;iShares MSCI UAE Capped ETF
EFNL;iShares MSCI Finland Capped ETF
ENOR;iShares MSCI Norway Capped ETF
EWUS;iShares MSCI United Kingdom Small-Cap ETF
EWGS;iShares MSCI Germany Small-Cap ETF
ECNS;iShares MSCI China Small-Cap ETF
ICOL;iShares MSCI Colombia Capped ETF
HEWP;iShares Currency Hedged MSCI Spain ETF
HEWY;iShares Currency Hedged MSCI South Korea ETF
HEWC;iShares Currency Hedged MSCI Canada ETF
HAUD;iShares Currency Hedged MSCI Australia ETF
CNYA;iShares MSCI China A ETF
HEWI;iShares Currency Hedged MSCI Italy ETF
HEWL;iShares Currency Hedged MSCI Switzerland ETF
KSA;iShares MSCI Saudi Arabia Capped ETF
DEWJ;iShares Adaptive Currency Hedged MSCI Japan ETF
HJPX;iShares Currency Hedged JPX-Nikkei 400 ETF
HEWW;iShares Currency Hedged MSCI Mexico ETF
