IPD;SPDR S&P International Consumer Discretionary Sector ETF
IPS;SPDR S&P International Consumer Staples Sector ETF
IPW;SPDR S&P International Energy Sector ETF
IPF;SPDR S&P International Financial Sector ETF
IRY;SPDR S&P International Health Care Sector ETF
IPN;SPDR S&P International Industrial Sector ETF
IRV;SPDR S&P International Materials Sector ETF
IPK;SPDR S&P International Technology Sector ETF
IST;SPDR S&P International Telecommunications Sector ETF
IPU;SPDR S&P International Utilities Sector ETF
